site_no,vegetation,substrate_type,height,age_roof,area,depth,grey_frac_50,grey_frac_500,green_frac_50,green_frac_500,pv,distance_gr
1,0.8,Soil,3.53,26,135,18,0.552076459,0.725653648,0.441836715,0.219762906,0,74
2,0.9,Soil,17.16,16,280,9,0.520242095,0.59853977,0.479757875,0.401188433,0,26
3,0.7,Stones,6.51,26,510,15,0.361444622,0.319395155,0.633851647,0.676176965,0,55
4,0.7,Soil,6.36,26,250,6,0.519723237,0.673931777,0.480276763,0.317006201,0,49
5,1,Stones,5.5,22,600,6,0.695722759,0.603302121,0.304277241,0.395795763,0,13
6,0.9,Stones,21.92,11,680,15,0.577076197,0.488267452,0.422923863,0.510612905,1,24
7,0.55,Stones,3.45,26,270,6,0.608030498,0.404616356,0.389408588,0.594266534,0,71
8,0.7,Stones,17.79,11,480,9,0.45394966,0.501107752,0.535230756,0.496877491,0,25
9,0.8,Soil,8.6,20,56,6,0.494402468,0.47953099,0.493814588,0.518647909,0,8
10,0.5,Soil,23,2,760,9,0.620588958,0.648910165,0.379411012,0.349900186,0,13
11,0.9,Soil,14,22,440,6,0.472429663,0.598449171,0.513535321,0.400355935,0,17
12,1,Soil,3.4,26,260,NA,0.505346715,0.270674855,0.494653314,0.729009986,0,15
13,1,Stones,3,26,70,NA,0.58272326,0.432354748,0.41727674,0.566541433,0,4.5
14,0.9,Stones,8.66,7,700,NA,0.55837065,0.393535793,0.44162938,0.605391264,1,20
15,0.45,Stones,29.41,1,1000,3,0.893287301,0.337076128,0.083640039,0.625430405,1,15
16,0.75,Stones,19,14,280,3,0.929228067,0.64510113,0.07077194,0.332813591,0,18
17,0.95,Stones,9,26,158,NA,0.367374599,0.393633753,0.632625401,0.497737259,0,15
18,1,Soil,16,26,260,21,0.671211243,0.488102853,0.328788757,0.483327121,0,31
19,1,Stones,7.9,26,31,6,0.618966877,0.450530231,0.374904573,0.545407116,0,15
20,1,Stones,23.32,21,390,NA,0.540795922,0.568334103,0.246088743,0.359235287,1,28
21,0.6,Stones,13,26,230,6,0.644669831,0.583117008,0.35533011,0.413917601,0,3
22,1,Stones,5,24,310,9,0.632724345,0.300214767,0.360877872,0.698695362,0,33
23,0.8,Stones,17.54,14,650,12,0.499342471,0.411117554,0.500657499,0.588123322,1,24
24,1,Soil,12.16,16,355,9,0.471948415,0.429987222,0.528051615,0.567948699,0,41
25,0.8,Stones,12.67,21,250,6,0.402493179,0.465002239,0.52553457,0.515559077,0,7
26,1,Stones,8.38,23,280,6,0.324387997,0.205022871,0.675611973,0.792698801,0,20
27,0.5,Stones,11.17,8,660,9,0.539550841,0.355745792,0.460449219,0.640866458,0,29
28,0.3,Stones,11.6,15,600,6,0.781289637,0.411317438,0.218710408,0.320113152,1,49
29,0.7,Stones,20.54,26,135,NA,0.664633811,0.537081063,0.335366219,0.458963156,0,37
30,0.9,Soil,7.92,26,920,9,0.640371144,0.457584411,0.359628826,0.538362503,1,30
31,0.4,Stones,21.87,26,250,9,0.848656714,0.493692011,0.151343331,0.291015953,1,9
32,1,Soil,6.65,21,140,6,0.562628329,0.679002583,0.437371641,0.24518764,0,26
33,1,Stones,10.8,11,380,12,0.424954981,0.512065887,0.57504499,0.479354113,0,20
34,1,Soil,5.8,16,200,6,0.824113727,0.675821066,0.175886229,0.324046254,0,3
35,0.7,Stones,14.18,14,810,NA,0.648804009,0.521539807,0.351195931,0.473520696,0,22
36,1,Stones,13.7,4,1040,21,0.786602974,0.772607625,0.195525467,0.166857541,0,12
37,1,Stones,10,26,1300,12,0.501811266,0.328063369,0.498188734,0.668202519,0,16
38,0.25,Stones,21.67,11,350,NA,0.517593861,0.509250879,0.482406199,0.486823887,1,18
39,1,Stones,21.9,8,211,9,0.873168766,0.62192601,0.125088125,0.372704625,0,12
40,0.4,Soil,12.71,20,3200,NA,0.329969943,0.589038551,0.670029998,0.409871489,0,16.5
41,0.4,Stones,21.3,26,850,6,0.992808819,0.638414085,0.007191205,0.36031279,0,37
42,0.7,Stones,20.93,15,2250,3,0.454176664,0.326349705,0.545823395,0.665857017,1,56
43,0.9,Stones,10.6,26,950,15,0.583128631,0.510936856,0.416871428,0.418591321,1,7
44,0.6,Stones,11.1,12,145,9,0.45494768,0.391095579,0.54505229,0.509251773,0,60
45,0.6,Stones,2.91,17,80,NA,0.336294651,0.37379545,0.426628649,0.556131423,0,29
46,0.6,Stones,12,16,920,NA,0.5408957,0.436131924,0.389378577,0.544703066,1,3
47,0.8,Stones,5.4,26,200,9,0.500664711,0.392561883,0.499335289,0.597860694,0,3
48,0.9,Stones,19,17,520,9,0.417665392,0.56890291,0.576997161,0.429865688,0,18
49,0.9,Stones,4.45,26,600,6,0.703780115,0.669924736,0.184640586,0.219887599,0,4
50,0.5,Stones,12.5,7,585,NA,0.31809634,0.417729437,0.68190372,0.581642926,0,27
51,1,Stones,9.44,11,870,12,0.571080506,0.432080895,0.421989352,0.552823663,0,20
52,0.9,Stones,NA,16,796,6,NA,NA,NA,NA,1,
53,1,Stones,NA,NA,635,NA,NA,NA,NA,NA,0,
54,0.3,Stones,11,16,295,NA,0.612866879,0.362588197,0.381430656,0.634370744,1,13
55,0.95,Stones,NA,NA,555,NA,NA,NA,NA,NA,0,
56,0.7,Stones,11.2,6,290,12,0.560375571,0.619749069,0.439624429,0.379734337,0,13
57,0.6,Stones,10.6,14,360,NA,0.453145862,0.33206901,0.546854198,0.616563737,1,27
