site_no,grey_frac_500
1,0.725242734
2,0.629693151
3,0.284204721
4,0.67270875
5,0.597167075
6,0.480593652
7,0.143054754
8,0.509604096
9,0.510304809
10,0.584457636
11,0.592800915
12,0.280261815
13,0.432204992
15,0.336115152
16,0.557939708
17,0.317527831
18,0.442752838
19,0.438482821
20,0.571283042
21,0.591356695
22,0.333496392
23,0.333991647
24,0.353341609
25,0.457615972
26,0.229715839
27,0.268488765
28,0.358510792
29,0.511363208
30,0.464054614
31,0.372530878
32,0.65344286
33,0.47865203
34,0.599873424
35,0.528391182
36,0.802160382
37,0.331736118
38,0.528405011
39,0.59926486
40,0.57482034
41,0.653123796
42,0.311214268
43,0.479250401
44,0.416775018
45,0.375009209
46,0.444514692
47,0.370724976
48,0.569744945
49,0.684129357
50,0.407029092
51,0.414691865
56,0.666431844
57,0.326061755
